,game_id,season,game_type,week,gameday,weekday,gametime,gametime_hour,gametime_minute,away_team,away_score,home_team,home_score,location,result,total,overtime,pfr,espn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,referee,stadium_id,stadium,outdoor,grass,playoff,home_DVOA_Rank,home_DVOA,away_DVOA_Rank,away_DVOA,home_win,home_afterbye,away_afterbye,tie
1849,2017_17_CAR_ATL,2017,REG,17,12/31/2017,Sunday,16:25,16,25,CAR,10,ATL,22,Home,12,32,0,201712310atl,400951734,7,7,211,-236,5,-100,-110,44.5,-100,-110,1,closed,fieldturf,70,0,00-0027939,00-0026143,Bill Vinovich,ATL97,Mercedes-Benz Stadium,0,0,0,14,0.05,9,0.13,1,0,0,0
1850,2017_17_CIN_BAL,2017,REG,17,12/31/2017,Sunday,16:25,16,25,CIN,31,BAL,27,Home,-4,58,0,201712310rav,400951739,7,8,322,-370,8,-113,102,40,-104,-106,1,outdoors,grass,19,12,00-0027973,00-0026158,Ron Torbert,BAL00,M&T Bank Stadium,1,1,0,7,0.18,24,-0.14,0,0,0,0
1851,2017_17_KC_DEN,2017,REG,17,12/31/2017,Sunday,16:25,16,25,KC,27,DEN,24,Home,-3,51,0,201712310den,400951789,7,7,154,-174,3,102,-112,37.5,-105,-105,1,outdoors,grass,17,4,00-0033873,00-0033108,Clete Blakeman,DEN00,Sports Authority Field at Mile High,1,1,0,29,-0.22,10,0.11,0,0,0,0
1852,2017_17_SF_LA,2017,REG,17,12/31/2017,Sunday,16:25,16,25,SF,34,LA,13,Home,-21,47,0,201712310ram,400951792,7,7,-278,241,-6.5,-113,102,44.5,100,-110,1,outdoors,grass,67,3,00-0031345,00-0032245,Terry McAulay,LAX99,Los Angeles Memorial Coliseum,1,1,0,3,0.28,21,-0.09,0,0,0,0
1853,2017_17_OAK_LAC,2017,REG,17,12/31/2017,Sunday,16:25,16,25,OAK,10,LAC,30,Home,20,40,0,201712310sdg,400951791,6,7,269,-305,7,-115,104,43,-115,104,1,outdoors,grass,62,2,00-0031280,00-0022942,Ed Hochuli,LAX97,StubHub Center,1,1,0,13,0.07,20,-0.09,1,0,0,0
1854,2017_17_BUF_MIA,2017,REG,17,12/31/2017,Sunday,16:25,16,25,BUF,22,MIA,16,Home,-6,38,0,201712310mia,400951748,7,7,-130,118,-2.5,-102,-108,41.5,102,-113,1,outdoors,grass,71,9,00-0028118,00-0031076,Jeff Triplette,MIA00,Hard Rock Stadium,1,1,0,28,-0.22,22,-0.11,0,0,0,0
1855,2017_17_ARI_SEA,2017,REG,17,12/31/2017,Sunday,16:25,16,25,ARI,26,SEA,24,Home,-2,50,0,201712310sea,400951793,7,7,325,-374,8,-111,101,38,-110,100,1,outdoors,fieldturf,40,7,00-0025430,00-0029263,Walt Coleman,SEA00,CenturyLink Field,1,0,0,15,0.02,19,-0.08,0,0,0,0
1856,2017_17_NO_TB,2017,REG,17,12/31/2017,Sunday,16:25,16,25,NO,24,TB,31,Home,7,55,0,201712310tam,400951764,7,7,-250,222,-6,-102,-108,49,-123,111,1,outdoors,grass,71,3,00-0020531,00-0031503,Walt Anderson,TAM00,Raymond James Stadium,1,1,0,23,-0.12,1,0.35,1,0,0,0
1857,2017_17_JAX_TEN,2017,REG,17,12/31/2017,Sunday,16:25,16,25,JAX,10,TEN,15,Home,5,25,0,201712310oti,400951788,7,7,125,-138,2.5,102,-113,40,-104,-106,1,outdoors,grass,23,5,00-0031407,00-0032268,Tony Corrente,NAS00,Nissan Stadium,1,1,0,18,-0.06,8,0.14,1,0,0,0
1858,2017_18_TEN_KC,2017,WC,18,1/6/2018,Saturday,16:36,16,36,TEN,22,KC,21,Home,-1,43,0,201801060kan,400999175,6,6,369,-430,8.5,-105,-105,44,-104,-106,0,outdoors,grass,33,10,00-0032268,00-0023436,Jeff Triplette,KAN00,Arrowhead Stadium,1,1,1,10,0.11,18,-0.06,0,0,0,0
1859,2017_18_ATL_LA,2017,WC,18,1/6/2018,Saturday,20:15,20,15,ATL,26,LA,13,Home,-13,39,0,201801060ram,400999171,6,6,222,-250,6.5,-113,102,48,-110,-100,0,outdoors,grass,62,3,00-0026143,00-0033106,Ed Hochuli,LAX99,Los Angeles Memorial Coliseum,1,1,1,3,0.28,14,0.05,0,0,0,0
1860,2017_18_BUF_JAX,2017,WC,18,1/7/2018,Sunday,13:05,13,5,BUF,3,JAX,10,Home,7,13,0,201801070jax,400999176,7,7,346,-400,8.5,-100,-110,39.5,-110,-100,0,outdoors,grass,53,18,00-0028118,00-0031407,John Hussey,JAX00,EverBank Field,1,1,1,8,0.14,22,-0.11,1,0,0,0
