away_moneyline,home_moneyline,spread_line,home_spread_odds,total_line,temp,home_DVOA_Rank,home_DVOA,away_DVOA_Rank,away_DVOA,home_win
322,-370,9.0,108,38.0,40,19,-0.02,31,-0.33,1
742,-960,14.0,-104,41.5,70,7,0.17,28,-0.2,1
-335,293,-7.0,102,47.0,66,30,-0.27,13,0.06,0
-107,-103,-1.0,-109,42.5,31,23,-0.1,18,-0.02,0
175,-195,3.5,-110,34.5,39,15,0.01,19,-0.02,0
214,-240,4.5,-116,45.0,70,5,0.2,20,-0.04,0
-285,252,-6.5,-105,41.5,70,32,-0.35,14,0.05,1
-579,483,-11.0,-108,46.0,50,27,-0.18,2,0.26,1
-320,281,-7.0,-101,53.5,70,29,-0.2,1,0.29,0
231,-260,5.5,-106,45.0,29,12,0.07,21,-0.08,0
-300,264,-7.0,-108,38.5,70,31,-0.33,17,-0.01,0
-144,130,-1.0,126,47.5,50,22,-0.09,10,0.13,0
218,-245,6.0,-104,37.0,70,26,-0.17,25,-0.15,1
-300,264,-7.0,-115,47.5,63,24,-0.13,4,0.22,0
147,-163,3.0,-110,44.0,35,9,0.13,11,0.12,1
-109,-101,-1.0,-104,44.5,58,16,0.0,8,0.14,1
144,-160,3.0,-110,37.0,51,6,0.18,3,0.22,1
-300,264,-7.0,-114,40.5,70,32,-0.35,5,0.2,1
510,-617,10.5,-103,38.0,44,8,0.14,25,-0.15,1
-140,127,-3.0,-115,43.5,30,23,-0.1,24,-0.13,1
305,-350,9.0,111,48.5,51,20,-0.04,30,-0.27,1
180,-200,3.5,-110,41.0,38,17,-0.01,26,-0.17,1
131,-145,3.0,100,43.0,38,27,-0.18,22,-0.09,0
305,-350,7.5,100,49.0,30,4,0.22,18,-0.02,1
136,-150,1.5,-131,45.5,35,11,0.12,12,0.07,0
412,-485,10.0,-104,33.5,36,3,0.22,31,-0.33,1
334,-385,8.5,-107,38.5,44,14,0.05,28,-0.2,1
227,-255,6.0,-107,43.0,45,21,-0.08,29,-0.2,0
100,-110,-1.0,-115,52.5,70,10,0.13,16,0.0,1
-130,118,-1.5,106,49.5,70,13,0.06,9,0.13,0
-123,111,-1.5,104,36.5,48,19,-0.02,6,0.18,0
641,-804,13.0,-110,41.5,37,2,0.26,15,0.01,1
273,-310,7.0,-103,53.0,70,1,0.29,7,0.17,1
-260,231,-6.5,-103,41.5,31,2,0.26,10,0.13,1
-133,120,-1.0,115,38.5,70,5,0.2,14,0.05,0
150,-166,3.0,-107,36.5,70,28,-0.2,32,-0.35,1
109,-120,1.5,-109,38.0,78,18,-0.02,11,0.12,1
132,-146,1.5,-130,41.5,70,29,-0.2,15,0.01,0
474,-568,10.0,-107,49.5,51,4,0.22,23,-0.1,1
264,-300,7.0,-103,54.5,70,1,0.29,20,-0.04,1
281,-320,7.0,-102,44.0,53,9,0.13,21,-0.08,1
-711,577,-12.5,-106,35.5,70,31,-0.33,6,0.18,0
123,-136,2.5,-106,40.5,70,26,-0.17,19,-0.02,1
400,-470,10.0,-117,45.5,70,7,0.17,30,-0.27,1
-153,138,-2.5,112,37.5,42,17,-0.01,8,0.14,0
-325,285,-7.0,105,33.0,49,25,-0.15,3,0.22,0
113,-125,1.0,-119,37.0,35,24,-0.13,27,-0.18,0
118,-130,2.5,-108,50.5,56,22,-0.09,16,0.0,0
145,-161,3.0,101,48.0,48,12,0.07,13,0.06,1
202,-226,4.0,-111,38.0,70,5,0.2,17,-0.01,1
439,-520,10.5,107,59.5,70,1,0.29,10,0.13,1
130,-144,3.0,113,47.5,44,12,0.07,7,0.17,1
-335,293,-7.5,-110,34.0,40,24,-0.13,3,0.22,1
-165,149,-3.5,-120,46.5,62,6,0.18,1,0.29,1
551,-674,14.0,-108,50.0,24,4,0.22,24,-0.13,1
310,-355,7.5,102,37.0,31,8,0.14,5,0.2,1
347,-402,8.5,-108,54.0,31,2,0.26,12,0.07,0
273,-310,7.0,100,49.0,29,4,0.22,8,0.14,1
122,-135,2.0,-115,40.5,52,6,0.18,12,0.07,0
137,-149,3.0,103,53.0,70,4,0.22,12,0.07,0
164,-182,3.5,100,45.5,77,8,0.12,17,0.02,0
385,-450,10.0,-101,41.5,67,6,0.2,26,-0.16,1
-420,361,-9.0,-109,42.0,68,25,-0.15,28,-0.25,0
341,-394,9.0,107,46.0,70,16,0.03,15,0.04,1
583,-720,13.0,-104,41.5,70,9,0.1,21,-0.08,1
-130,118,-1.0,114,43.0,69,32,-0.44,7,0.12,0
174,-194,3.5,-104,38.0,70,12,0.07,31,-0.35,1
334,-385,9.5,106,50.0,70,18,-0.01,11,0.09,0
130,-144,3.0,101,39.5,74,27,-0.19,23,-0.12,1
