depth,n_tree,cut_off,accuracy,recall,f1,overall_score
5,1000,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
5,1000,0.1,0.5610169491525424,1.0,0.7181719260065288,0.7597296250530237
5,1000,0.15,0.5728813559322034,0.996969696969697,0.7230769230769231,0.7643093253262744
5,1000,0.2,0.5966101694915255,0.9878787878787879,0.7325842696629215,0.7723577423444116
5,1000,0.25,0.6067796610169491,0.9696969696969697,0.7339449541284404,0.7701405282807864
5,1000,0.3,0.6169491525423729,0.9424242424242424,0.7334905660377359,0.7642879870014504
5,1000,0.35,0.6593220338983051,0.9030303030303031,0.7478042659974906,0.7700522009753663
5,1000,0.4,0.676271186440678,0.8606060606060606,0.7483530961791832,0.7617434477419739
5,1000,0.45,0.6949152542372882,0.8181818181818182,0.7500000000000001,0.7543656908063688
5,1000,0.5,0.6966101694915254,0.7666666666666667,0.7386861313868613,0.7339876558483511
7,1000,0.05,0.559322033898305,1.0,0.717391304347826,0.7589044460820437
7,1000,0.1,0.5694915254237288,1.0,0.7221006564551423,0.7638640606262904
7,1000,0.15,0.5796610169491525,0.9939393939393939,0.7256637168141592,0.7664213759009019
7,1000,0.2,0.5983050847457627,0.9787878787878788,0.7315968289920726,0.769563264175238
7,1000,0.25,0.6050847457627119,0.9606060606060606,0.7312572087658592,0.7656493383782106
7,1000,0.3,0.635593220338983,0.9272727272727272,0.7400241837968561,0.7676300438028555
7,1000,0.35,0.6677966101694915,0.8939393939393939,0.7506361323155217,0.7707907121414691
7,1000,0.4,0.6864406779661016,0.8515151515151516,0.7523427041499332,0.7634328445437287
7,1000,0.45,0.688135593220339,0.8151515151515152,0.7451523545706371,0.7494798209808304
7,1000,0.5,0.6864406779661016,0.7606060606060606,0.7307132459970889,0.725919994856417
9,1000,0.05,0.5627118644067797,1.0,0.7189542483660131,0.7605553709242643
9,1000,0.1,0.5711864406779661,0.996969696969697,0.7222832052689353,0.7634797809721995
9,1000,0.15,0.5864406779661017,0.9939393939393939,0.7288888888888888,0.7697563202647948
9,1000,0.2,0.6,0.9787878787878788,0.7324263038548753,0.7704047275475846
9,1000,0.25,0.6067796610169491,0.9484848484848485,0.7296037296037297,0.7616227463685091
9,1000,0.3,0.6406779661016949,0.9181818181818182,0.7408312958435208,0.766563693375678
9,1000,0.35,0.6677966101694915,0.8848484848484849,0.7487179487179486,0.7671210145786417
9,1000,0.4,0.6796610169491526,0.8484848484848485,0.7476635514018691,0.7586031389452902
9,1000,0.45,0.6864406779661016,0.8151515151515152,0.7441217150760719,0.7485713027312295
9,1000,0.5,0.6915254237288135,0.7666666666666667,0.7354651162790697,0.7312190688915168
